dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,40.000000,38.236607,20.488850,20.231830,9.991027,-0.000000,1.570796
0.010000,40.000000,38.439425,20.691667,20.331741,9.991027,0.000000,1.570796
0.010000,40.000000,38.643242,20.895484,20.431651,9.991027,-0.000000,1.570796
0.010000,40.000000,38.848058,21.100300,20.531561,9.991027,-0.000000,1.570796
0.010000,40.000000,39.053873,21.306116,20.631471,9.991027,0.000000,1.570796
0.010000,40.000000,39.260687,21.512930,20.731382,9.991027,0.000000,1.570796
0.010000,40.000000,39.468501,21.720743,20.831292,9.991027,-0.000000,1.570796
0.010000,40.000000,39.677313,21.929556,20.931202,9.991027,0.000000,1.570796
0.010000,40.000000,39.887125,22.139367,21.031113,9.991027,0.000000,1.570796
0.010000,40.000000,40.097935,22.350178,21.131023,9.991027,0.000000,1.570796
0.010000,40.000000,40.309745,22.561988,21.230933,9.991027,-0.000000,1.570796
0.010000,40.000000,40.522554,22.774797,21.330843,9.991027,0.000000,1.570796
0.010000,40.000000,40.736362,22.988605,21.430754,9.991027,0.000000,1.570796
0.010000,40.000000,40.951169,23.203412,21.530664,9.991027,-0.000000,1.570796
0.010000,40.000000,41.166975,23.419218,21.630574,9.991027,0.000000,1.570796
0.010000,40.000000,41.383781,23.636023,21.730484,9.991027,0.000000,1.570796
0.010000,40.000000,41.601585,23.853828,21.830395,9.991027,-0.000000,1.570796
0.010000,40.000000,41.820389,24.072631,21.930305,9.991027,0.000000,1.570796
0.010000,40.000000,42.040191,24.292434,22.030215,9.991027,-0.000000,1.570796
0.010000,40.000000,42.260993,24.513235,22.130126,9.991027,0.000000,1.570796
0.010000,40.000000,42.482794,24.735036,22.230036,9.991027,0.000000,1.570796
0.010000,40.000000,42.705594,24.957836,22.329946,9.991027,-0.000000,1.570796
0.010000,40.000000,42.929393,25.181635,22.429856,9.991027,0.000000,1.570796
0.010000,40.000000,43.154191,25.406433,22.529767,9.991027,-0.000000,1.570796
0.010000,40.000000,43.379988,25.632230,22.629677,9.991027,0.000000,1.570796
0.010000,40.000000,43.606784,25.859027,22.729587,9.991027,-0.000000,1.570796
0.010000,40.000000,43.834580,26.086822,22.829498,9.991027,0.000000,1.570796
0.010000,40.000000,44.063374,26.315617,22.929408,9.991027,-0.000000,1.570796
0.010000,40.000000,44.293168,26.545410,23.029318,9.991027,0.000000,1.570796
0.010000,40.000000,44.523961,26.776203,23.129228,9.991027,0.000000,1.570796
0.010000,40.000000,44.755752,27.007995,23.229139,9.991027,-0.000000,1.570796
0.010000,40.000000,44.988543,27.240786,23.329049,9.991027,0.000000,1.570796
0.010000,40.000000,45.222333,27.474576,23.428959,9.991027,0.000000,1.570796
0.010000,40.000000,45.457123,27.709365,23.528869,9.991027,-0.000000,1.570796
0.010000,40.000000,45.692911,27.945153,23.628780,9.991027,0.000000,1.570796
0.010000,40.000000,45.929698,28.181941,23.728690,9.991027,-0.000000,1.570796
0.010000,40.000000,46.167485,28.419727,23.828600,9.991027,0.000000,1.570796
0.010000,40.000000,46.406270,28.658513,23.928511,9.991027,0.000000,1.570796
0.010000,40.000000,46.646055,28.898297,24.028421,9.991027,-0.000000,1.570796
0.010000,40.000000,46.886839,29.139081,24.128331,9.991027,0.000000,1.570796
0.010000,40.000000,47.128621,29.380864,24.228241,9.991027,-0.000000,1.570796
0.010000,40.000000,47.371403,29.623646,24.328152,9.991027,0.000000,1.570796
0.010000,40.000000,47.615184,29.867427,24.428062,9.991027,0.000000,1.570796
0.010000,40.000000,47.859965,30.112207,24.527972,9.991027,0.000000,1.570796
0.010000,40.000000,48.105744,30.357986,24.627882,9.991027,-0.000000,1.570796
0.010000,40.000000,48.352522,30.604765,24.727793,9.991027,0.000000,1.570796
0.010000,40.000000,48.600300,30.852542,24.827703,9.991027,-0.000000,1.570796
0.010000,40.000000,48.849076,31.101319,24.927613,9.991027,0.000000,1.570796
0.010000,40.000000,49.098852,31.351095,25.027524,9.991027,-0.000000,1.570796
0.010000,40.000000,49.349627,31.601869,25.127434,9.991027,-0.000000,1.570796
0.010000,40.000000,49.601401,31.853643,25.227344,9.991027,0.000000,1.570796
0.010000,40.000000,49.854174,32.106416,25.327254,9.991027,-0.000000,1.570796
0.010000,40.000000,50.107946,32.360188,25.427165,9.991027,0.000000,1.570796
0.010000,40.000000,50.362717,32.614959,25.527075,9.991027,0.000000,1.570796
0.010000,40.000000,50.618487,32.870730,25.626985,9.991027,-0.000000,1.570796
0.010000,40.000000,50.875257,33.127499,25.726895,9.991027,0.000000,1.570796
0.010000,40.000000,51.133025,33.385268,25.826806,9.991027,-0.000000,1.570796
0.010000,40.000000,51.391793,33.644035,25.926716,9.991027,0.000000,1.570796
0.010000,40.000000,51.651560,33.903802,26.026626,9.991027,0.000000,1.570796
0.010000,40.000000,51.912325,34.164568,26.126537,9.991027,-0.000000,1.570796
0.010000,40.000000,52.174090,34.426333,26.226447,9.991027,0.000000,1.570796
0.010000,40.000000,52.436854,34.689097,26.326357,9.991027,0.000000,1.570796
0.010000,40.000000,52.700617,34.952860,26.426267,9.991027,-0.000000,1.570796
0.010000,40.000000,52.965380,35.217622,26.526178,9.991027,0.000000,1.570796
0.010000,40.000000,53.231141,35.483383,26.626088,9.991027,0.000000,1.570796
0.010000,40.000000,53.497901,35.750144,26.725998,9.991027,-0.000000,1.570796
0.010000,40.000000,53.765661,36.017903,26.825908,9.991027,0.000000,1.570796
0.010000,40.000000,54.034420,36.286662,26.925819,9.991027,-0.000000,1.570796
0.010000,40.000000,54.304177,36.556420,27.025729,9.991027,-0.000000,1.570796
0.010000,40.000000,54.574934,36.827177,27.125639,9.991027,0.000000,1.570796
0.010000,40.000000,54.846690,37.098933,27.225550,9.991027,-0.000000,1.570796
0.010000,40.000000,55.119445,37.371688,27.325460,9.991027,-0.000000,1.570796
0.010000,40.000000,55.393199,37.645442,27.425370,9.991027,0.000000,1.570796
0.010000,40.000000,55.667952,37.920195,27.525280,9.991027,-0.000000,1.570796
0.010000,40.000000,55.943705,38.195947,27.625191,9.991027,0.000000,1.570796
0.010000,40.000000,56.220456,38.472699,27.725101,9.991027,-0.000000,1.570796
0.010000,40.000000,56.498207,38.750449,27.825011,9.991027,0.000000,1.570796
0.010000,40.000000,56.776957,39.029199,27.924921,9.991027,0.000000,1.570796
0.010000,40.000000,57.056705,39.308948,28.024832,9.991027,-0.000000,1.570796
0.010000,40.000000,57.337453,39.589696,28.124742,9.991027,0.000000,1.570796
0.010000,40.000000,57.619200,39.871443,28.224652,9.991027,0.000000,1.570796
0.010000,40.000000,57.901946,40.154189,28.324563,9.991027,-0.000000,1.570796
0.010000,40.000000,58.185691,40.437934,28.424473,9.991027,0.000000,1.570796
0.010000,40.000000,58.470436,40.722678,28.524383,9.991027,-0.000000,1.570796
0.010000,40.000000,58.756179,41.008422,28.624293,9.991027,0.000000,1.570796
0.010000,40.000000,59.042922,41.295164,28.724204,9.991027,0.000000,1.570796
0.010000,40.000000,59.330663,41.582906,28.824114,9.991027,-0.000000,1.570796
0.010000,40.000000,59.619404,41.871646,28.924024,9.991027,0.000000,1.570796
0.010000,40.000000,59.909144,42.161386,29.023934,9.991027,0.000000,1.570796
0.010000,40.000000,60.199883,42.452125,29.123845,9.991027,-0.000000,1.570796
0.010000,40.000000,60.491621,42.743863,29.223755,9.991027,0.000000,1.570796
0.010000,40.000000,60.784358,43.036600,29.323665,9.991027,-0.000000,1.570796
0.010000,40.000000,61.078094,43.330336,29.423576,9.991027,-0.000000,1.570796
0.010000,40.000000,61.372829,43.625072,29.523486,9.991027,0.000000,1.570796
0.010000,40.000000,61.668564,43.920806,29.623396,9.991027,-0.000000,1.570796
0.010000,40.000000,61.965297,44.217540,29.723306,9.991027,0.000000,1.570796
